input_data,target_data
অবৈধ সন্তান*ের,অবৈধ সন্তানদের
অবৈধ সন্তা*রা,অবৈধ সন্তানরা
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন-র-া,অবৈধ সন্তানরা
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন/র/া,অবৈধ সন্তানরা
*বৈধ সন্*ানরা,অবৈধ সন্তানরা
অবৈধ সন্তানে*া,অবৈধ সন্তানেরা
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন-ে-র-া,অবৈধ সন্তানেরা
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন/ে/র/া,অবৈধ সন্তানেরা
অবৈ****্ত**ে*া,অবৈধ সন্তানেরা
অমা*ুষের দল,অমানুষের দল
অ-ম-া-ন-ু-ষ-ে-র- -দ-ল,অমানুষের দল
অ/ম/া/ন/ু/ষ/ে/র/ /দ/ল,অমানুষের দল
*ম*নুষ** দল,অমানুষের দল
অমুস*িমদের হত্যা,অমুসলিমদের হত্যা
অ-ম-ু-স-ল-ি-ম-দ-ে-র- -হ-ত-্-য-া,অমুসলিমদের হত্যা
অ/ম/ু/স/ল/ি/ম/দ/ে/র/ /হ/ত/্/য/া,অমুসলিমদের হত্যা
অ***ল*মদ*র হত*য*,অমুসলিমদের হত্যা
অর*গাজম করানো,অর্গাজম করানো
অ-র-্-গ-া-জ-ম- -ক-র-া-ন-ো,অর্গাজম করানো
অ/র/্/গ/া/জ/ম/ /ক/র/া/ন/ো,অর্গাজম করানো
*র*গা*ম*ক*ানো,অর্গাজম করানো
অর্ধ *লঙ্গ,অর্ধ উলঙ্গ
অ-র-্-ধ- -উ-ল-ঙ-্-গ,অর্ধ উলঙ্গ
অ/র/্/ধ/ /উ/ল/ঙ/্/গ,অর্ধ উলঙ্গ
অর্ধ *লঙ্গ,অর্ধ উলঙ্গ
অর্ধ নগ*ন,অর্ধ নগ্ন
অ-র-্-ধ- -ন-গ-্-ন,অর্ধ নগ্ন
অ/র/্/ধ/ /ন/গ/্/ন,অর্ধ নগ্ন
অর*ধ নগ*ন,অর্ধ নগ্ন
অর্ধ শিক্*িত,অর্ধ শিক্ষিত
অ-র-্-ধ- -শ-ি-ক-্-ষ-ি-ত,অর্ধ শিক্ষিত
অ/র/্/ধ/ /শ/ি/ক/্/ষ/ি/ত,অর্ধ শিক্ষিত
অর*ধ*শ*ক্ষি*,অর্ধ শিক্ষিত
অর্ধউলঙ*গ হয়ে,অর্ধউলঙ্গ হয়ে
অ-র-্-ধ-উ-ল-ঙ-্-গ- -হ-য়-ে,অর্ধউলঙ্গ হয়ে
অ/র/্/ধ/উ/ল/ঙ/্/গ/ /হ/য়/ে,অর্ধউলঙ্গ হয়ে
অর্ধউ*ঙ্গ*হয়ে,অর্ধউলঙ্গ হয়ে
অর্ধনগ্* কাপড়,অর্ধনগ্ন কাপড়
অ-র-্-ধ-ন-গ-্-ন- -ক-া-প-ড়,অর্ধনগ্ন কাপড়
অ/র/্/ধ/ন/গ/্/ন/ /ক/া/প/ড়,অর্ধনগ্ন কাপড়
অর্ধ*গ্ন*কাপড়,অর্ধনগ্ন কাপড়
অর্ধনগ্ন*ছবি,অর্ধনগ্ন ছবি
অ-র-্-ধ-ন-গ-্-ন- -ছ-ব-ি,অর্ধনগ্ন ছবি
অ/র/্/ধ/ন/গ/্/ন/ /ছ/ব/ি,অর্ধনগ্ন ছবি
অর্*নগ্ন *বি,অর্ধনগ্ন ছবি
অর্ধলগ্ন*ছবি,অর্ধলগ্ন ছবি
অ-র-্-ধ-ল-গ-্-ন- -ছ-ব-ি,অর্ধলগ্ন ছবি
অ/র/্/ধ/ল/গ/্/ন/ /ছ/ব/ি,অর্ধলগ্ন ছবি
অর*ধ*গ্ন ছব*,অর্ধলগ্ন ছবি
অস*্য অমানুষ,অসভ্য অমানুষ
অ-স-ভ-্-য- -অ-ম-া-ন-ু-ষ,অসভ্য অমানুষ
অ/স/ভ/্/য/ /অ/ম/া/ন/ু/ষ,অসভ্য অমানুষ
*সভ্য অমানুষ,অসভ্য অমানুষ
অসভ্* জাতি,অসভ্য জাতি
অ-স-ভ-্-য- -জ-া-ত-ি,অসভ্য জাতি
অ/স/ভ/্/য/ /জ/া/ত/ি,অসভ্য জাতি
অস*্য*জাতি,অসভ্য জাতি
অসভ*য দেশ,অসভ্য দেশ
অ-স-ভ-্-য- -দ-ে-শ,অসভ্য দেশ
অ/স/ভ/্/য/ /দ/ে/শ,অসভ্য দেশ
অস*্য *ে*,অসভ্য দেশ
অ*ভ্য পার্টি,অসভ্য পার্টি
অ-স-ভ-্-য- -প-া-র-্-ট-ি,অসভ্য পার্টি
অ/স/ভ/্/য/ /প/া/র/্/ট/ি,অসভ্য পার্টি
অস*** পার্টি,অসভ্য পার্টি
অসভ‍*য বর্বর,অসভ‍্য বর্বর
অ-স-ভ-‍-্-য- -ব-র-্-ব-র,অসভ‍্য বর্বর
অ/স/ভ/‍/্/য/ /ব/র/্/ব/র,অসভ‍্য বর্বর
অ*ভ‍****র*বর,অসভ‍্য বর্বর
অসুস্থ মস্তিষ*কের,অসুস্থ মস্তিষ্কের
অ-স-ু-স-্-থ- -ম-স-্-ত-ি-ষ-্-ক-ে-র,অসুস্থ মস্তিষ্কের
অ/স/ু/স/্/থ/ /ম/স/্/ত/ি/ষ/্/ক/ে/র,অসুস্থ মস্তিষ্কের
অ*ুস্* মস*ত**্ক**,অসুস্থ মস্তিষ্কের
আ*চলের নিচে,আঁচলের নিচে
আ-ঁ-চ-ল-ে-র- -ন-ি-চ-ে,আঁচলের নিচে
আ/ঁ/চ/ল/ে/র/ /ন/ি/চ/ে,আঁচলের নিচে
*ঁচল*র ন*চে,আঁচলের নিচে
আঁটি *েল,আঁটি সেল
আ-ঁ-ট-ি- -স-ে-ল,আঁটি সেল
আ/ঁ/ট/ি/ /স/ে/ল,আঁটি সেল
*ঁ*ি*সেল,আঁটি সেল
আঁটি সে*ের,আঁটি সেলের
আ-ঁ-ট-ি- -স-ে-ল-ে-র,আঁটি সেলের
আ/ঁ/ট/ি/ /স/ে/ল/ে/র,আঁটি সেলের
*ঁটি*সে**র,আঁটি সেলের
আঁড়*ী নঁ*,আঁড়বী নঁ*
আ-ঁ-ড-়-ব-ী- -ন-ঁ-*,আঁড়বী নঁ*
আ/ঁ/ড/়/ব/ী/ /ন/ঁ/*,আঁড়বী নঁ*
আ*ড়ব*****,আঁড়বী নঁ*
আই প*ক,আই পাক
আ-ই- -প-া-ক,আই পাক
আ/ই/ /প/া/ক,আই পাক
আ* *া*,আই পাক
আই *াক,আই ফাক
আ-ই- -ফ-া-ক,আই ফাক
আ/ই/ /ফ/া/ক,আই ফাক
** *াক,আই ফাক
আওয়ামী দাল*ল,আওয়ামী দালাল
আ-ও-য-়-া-ম-ী- -দ-া-ল-া-ল,আওয়ামী দালাল
আ/ও/য/়/া/ম/ী/ /দ/া/ল/া/ল,আওয়ামী দালাল
আওয়ামী দ*লাল,আওয়ামী দালাল
আগু* আপু,আগুন আপু
আ-গ-ু-ন- -আ-প-ু,আগুন আপু
আ/গ/ু/ন/ /আ/প/ু,আগুন আপু
আগু* *পু,আগুন আপু
আঙ্গুল দি*া,আঙ্গুল দিয়া
আ-ঙ-্-গ-ু-ল- -দ-ি-য়-া,আঙ্গুল দিয়া
আ/ঙ/্/গ/ু/ল/ /দ/ি/য়/া,আঙ্গুল দিয়া
আঙ্গ***দিয়া,আঙ্গুল দিয়া
আঙ্গুল দ*য়ে,আঙ্গুল দিয়ে
আ-ঙ-্-গ-ু-ল- -দ-ি-য়-ে,আঙ্গুল দিয়ে
আ/ঙ/্/গ/ু/ল/ /দ/ি/য়/ে,আঙ্গুল দিয়ে
*ঙ্গ*ল দিয়ে,আঙ্গুল দিয়ে
আন্ড* থেরাপি,আন্ডা থেরাপি
আ-ন-্-ড-া- -থ-ে-র-া-প-ি,আন্ডা থেরাপি
আ/ন/্/ড/া/ /থ/ে/র/া/প/ি,আন্ডা থেরাপি
আন্*া থেরাপি,আন্ডা থেরাপি
আন্ডা*পারা,আন্ডা পারা
আ-ন-্-ড-া- -প-া-র-া,আন্ডা পারা
আ/ন/্/ড/া/ /প/া/র/া,আন্ডা পারা
আ*্ডা পারা,আন্ডা পারা
আপনার দ*ধ,আপনার দুধ
আ-প-ন-া-র- -দ-ু-ধ,আপনার দুধ
আ/প/ন/া/র/ /দ/ু/ধ,আপনার দুধ
আপ*া* **ধ,আপনার দুধ
আ*ু আগুন,আপু আগুন
আ-প-ু- -আ-গ-ু-ন,আপু আগুন
আ/প/ু/ /আ/গ/ু/ন,আপু আগুন
আপু*আগুন,আপু আগুন
আ*ু সেক্সি,আপু সেক্সি
আ-প-ু- -স-ে-ক-্-স-ি,আপু সেক্সি
আ/প/ু/ /স/ে/ক/্/স/ি,আপু সেক্সি
আ** **ক*সি,আপু সেক্সি
আপু*হট,আপু হট
আ-প-ু- -হ-ট,আপু হট
আ/প/ু/ /হ/ট,আপু হট
আপ* হট,আপু হট
আপু হি*াব,আপু হিজাব
আ-প-ু- -হ-ি-জ-া-ব,আপু হিজাব
আ/প/ু/ /হ/ি/জ/া/ব,আপু হিজাব
আ*ু*হিজ*ব,আপু হিজাব
আপুটা ক্*ান্ত,আপুটা ক্লান্ত
আ-প-ু-ট-া- -ক-্-ল-া-ন-্-ত,আপুটা ক্লান্ত
আ/প/ু/ট/া/ /ক/্/ল/া/ন/্/ত,আপুটা ক্লান্ত
আপুটা ক*ল*ন*ত,আপুটা ক্লান্ত
আ*াল চুদা,আবাল চুদা
আ-ব-া-ল- -চ-ু-দ-া,আবাল চুদা
আ/ব/া/ল/ /চ/ু/দ/া,আবাল চুদা
আব*ল *ুদা,আবাল চুদা
আবাল *ুদারা,আবাল চুদারা
আ-ব-া-ল- -চ-ু-দ-া-র-া,আবাল চুদারা
আ/ব/া/ল/ /চ/ু/দ/া/র/া,আবাল চুদারা
*বা* চ*দারা,আবাল চুদারা
আব*ল চোদারা,আবাল চোদারা
আ-ব-া-ল- -চ-ো-দ-া-র-া,আবাল চোদারা
আ/ব/া/ল/ /চ/ো/দ/া/র/া,আবাল চোদারা
আ*াল চোদ*রা,আবাল চোদারা
আবাল *াবাল,আবাল ছাবাল
আ-ব-া-ল- -ছ-া-ব-া-ল,আবাল ছাবাল
আ/ব/া/ল/ /ছ/া/ব/া/ল,আবাল ছাবাল
আ*াল*ছাব*ল,আবাল ছাবাল
আবেগে *াইন্দালছি,আবেগে কাইন্দালছি
আ-ব-ে-গ-ে- -ক-া-ই-ন-্-দ-া-ল-ছ-ি,আবেগে কাইন্দালছি
আ/ব/ে/গ/ে/ /ক/া/ই/ন/্/দ/া/ল/ছ/ি,আবেগে কাইন্দালছি
আব*গ* ক*ইন্দালছ*,আবেগে কাইন্দালছি
আব্ব*র নাম,আব্বার নাম
আ-ব-্-ব-া-র- -ন-া-ম,আব্বার নাম
আ/ব/্/ব/া/র/ /ন/া/ম,আব্বার নাম
আ*্ব*র না*,আব্বার নাম
আব*বার হেডা,আব্বার হেডা
আ-ব-্-ব-া-র- -হ-ে-ড-া,আব্বার হেডা
আ/ব/্/ব/া/র/ /হ/ে/ড/া,আব্বার হেডা
*ব্ব*র**েডা,আব্বার হেডা
আমার*ধন,আমার ধন
আ-ম-া-র- -ধ-ন,আমার ধন
আ/ম/া/র/ /ধ/ন,আমার ধন
*মার ধন,আমার ধন
আমা* ধনটা,আমার ধনটা
আ-ম-া-র- -ধ-ন-ট-া,আমার ধনটা
আ/ম/া/র/ /ধ/ন/ট/া,আমার ধনটা
*মার ধনটা,আমার ধনটা
আম*র বালের,আমার বালের
আ-ম-া-র- -ব-া-ল-ে-র,আমার বালের
আ/ম/া/র/ /ব/া/ল/ে/র,আমার বালের
আমা* বাল**,আমার বালের
আম*র হালা,আমার হালা
আ-ম-া-র- -হ-া-ল-া,আমার হালা
আ/ম/া/র/ /হ/া/ল/া,আমার হালা
আম*র*হা*া,আমার হালা
আমার হে*া,আমার হেডা
আ-ম-া-র- -হ-ে-ড-া,আমার হেডা
আ/ম/া/র/ /হ/ে/ড/া,আমার হেডা
**ার**েডা,আমার হেডা
আর জে*েনা,আর জেতেনা
আ-র- -জ-ে-ত-ে-ন-া,আর জেতেনা
আ/র/ /জ/ে/ত/ে/ন/া,আর জেতেনা
আ**জে**না,আর জেতেনা
আ*এসএস খুনিরা,আরএসএস খুনিরা
আ-র-এ-স-এ-স- -খ-ু-ন-ি-র-া,আরএসএস খুনিরা
আ/র/এ/স/এ/স/ /খ/ু/ন/ি/র/া,আরএসএস খুনিরা
আ***এস*খুনির*,আরএসএস খুনিরা
আরএসএস সন্ত্র*সী,আরএসএস সন্ত্রাসী
আ-র-এ-স-এ-স- -স-ন-্-ত-্-র-া-স-ী,আরএসএস সন্ত্রাসী
আ/র/এ/স/এ/স/ /স/ন/্/ত/্/র/া/স/ী,আরএসএস সন্ত্রাসী
***স*স**ন্ত্র**ী,আরএসএস সন্ত্রাসী
আরব্য বর্*ীরা,আরব্য বর্গীরা
আ-র-ব-্-য- -ব-র-্-গ-ী-র-া,আরব্য বর্গীরা
আ/র/ব/্/য/ /ব/র/্/গ/ী/র/া,আরব্য বর্গীরা
আরব্য বর্**রা,আরব্য বর্গীরা
ইংরেজের দ*লাল,ইংরেজের দালাল
ই-ং-র-ে-জ-ে-র- -দ-া-ল-া-ল,ইংরেজের দালাল
ই/ং/র/ে/জ/ে/র/ /দ/া/ল/া/ল,ইংরেজের দালাল
*ংরেজের দালাল,ইংরেজের দালাল
ইমো স*ক্স,ইমো সেক্স
ই-ম-ো- -স-ে-ক-্-স,ইমো সেক্স
ই/ম/ো/ /স/ে/ক/্/স,ইমো সেক্স
*ম* *েক্স,ইমো সেক্স
ইমোতে*সেক্স,ইমোতে সেক্স
ই-ম-ো-ত-ে- -স-ে-ক-্-স,ইমোতে সেক্স
ই/ম/ো/ত/ে/ /স/ে/ক/্/স,ইমোতে সেক্স
ইম*তে সেক*স,ইমোতে সেক্স
ইসলাম বিদ*ধেষী,ইসলাম বিদ্ধেষী
ই-স-ল-া-ম- -ব-ি-দ-্-ধ-ে-ষ-ী,ইসলাম বিদ্ধেষী
ই/স/ল/া/ম/ /ব/ি/দ/্/ধ/ে/ষ/ী,ইসলাম বিদ্ধেষী
ইসলাম বি***েষী,ইসলাম বিদ্ধেষী
ইসল*ম বিদ্বেষ,ইসলাম বিদ্বেষ
ই-স-ল-া-ম- -ব-ি-দ-্-ব-ে-ষ,ইসলাম বিদ্বেষ
ই/স/ল/া/ম/ /ব/ি/দ/্/ব/ে/ষ,ইসলাম বিদ্বেষ
ইস*** ব*দ্বেষ,ইসলাম বিদ্বেষ
ইসলা* বিদ্বেষী,ইসলাম বিদ্বেষী
ই-স-ল-া-ম- -ব-ি-দ-্-ব-ে-ষ-ী,ইসলাম বিদ্বেষী
ই/স/ল/া/ম/ /ব/ি/দ/্/ব/ে/ষ/ী,ইসলাম বিদ্বেষী
**লা* *িদ্***ী,ইসলাম বিদ্বেষী
ইসল*মিক জঙ্গি,ইসলামিক জঙ্গি
ই-স-ল-া-ম-ি-ক- -জ-ঙ-্-গ-ি,ইসলামিক জঙ্গি
ই/স/ল/া/ম/ি/ক/ /জ/ঙ/্/গ/ি,ইসলামিক জঙ্গি
ইসলাম****ঙ্গ*,ইসলামিক জঙ্গি
ইহুদি *াসারা,ইহুদি নাসারা
ই-হ-ু-দ-ি- -ন-া-স-া-র-া,ইহুদি নাসারা
ই/হ/ু/দ/ি/ /ন/া/স/া/র/া,ইহুদি নাসারা
ইহ******সারা,ইহুদি নাসারা
ইহুদি ব*দ্বেষ,ইহুদি বিদ্বেষ
ই-হ-ু-দ-ি- -ব-ি-দ-্-ব-ে-ষ,ইহুদি বিদ্বেষ
ই/হ/ু/দ/ি/ /ব/ি/দ/্/ব/ে/ষ,ইহুদি বিদ্বেষ
*হুদ* ব**্বে*,ইহুদি বিদ্বেষ
ইহ*দিরা খারাপ,ইহুদিরা খারাপ
ই-হ-ু-দ-ি-র-া- -খ-া-র-া-প,ইহুদিরা খারাপ
ই/হ/ু/দ/ি/র/া/ /খ/া/র/া/প,ইহুদিরা খারাপ
*হ*দির* খ*রাপ,ইহুদিরা খারাপ
ইহুদী খ্রিষ্*ানদের,ইহুদী খ্রিষ্টানদের
ই-হ-ু-দ-ী- -খ-্-র-ি-ষ-্-ট-া-ন-দ-ে-র,ইহুদী খ্রিষ্টানদের
ই/হ/ু/দ/ী/ /খ/্/র/ি/ষ/্/ট/া/ন/দ/ে/র,ইহুদী খ্রিষ্টানদের
ইহুদী *্রিষ*টানদের,ইহুদী খ্রিষ্টানদের
ইহুদ* নাসারা,ইহুদী নাসারা
ই-হ-ু-দ-ী- -ন-া-স-া-র-া,ইহুদী নাসারা
ই/হ/ু/দ/ী/ /ন/া/স/া/র/া,ইহুদী নাসারা
ইহ*দ* নাসারা,ইহুদী নাসারা
উগ্র*জঙ্গি,উগ্র জঙ্গি
উ-গ-্-র- -জ-ঙ-্-গ-ি,উগ্র জঙ্গি
উ/গ/্/র/ /জ/ঙ/্/গ/ি,উগ্র জঙ্গি
*গ্র জঙ্গি,উগ্র জঙ্গি
উগ্রবাদ* জঙ্গি,উগ্রবাদী জঙ্গি
উ-গ-্-র-ব-া-দ-ী- -জ-ঙ-্-গ-ি,উগ্রবাদী জঙ্গি
উ/গ/্/র/ব/া/দ/ী/ /জ/ঙ/্/গ/ি,উগ্রবাদী জঙ্গি
উ*্রবাদী*জঙ্গি,উগ্রবাদী জঙ্গি
উগ্রবাদী জ*মাত,উগ্রবাদী জামাত
উ-গ-্-র-ব-া-দ-ী- -জ-া-ম-া-ত,উগ্রবাদী জামাত
উ/গ/্/র/ব/া/দ/ী/ /জ/া/ম/া/ত,উগ্রবাদী জামাত
*গ্র*াদী*জ*মাত,উগ্রবাদী জামাত
উ*্রবাদী জামাতি,উগ্রবাদী জামাতি
উ-গ-্-র-ব-া-দ-ী- -জ-া-ম-া-ত-ি,উগ্রবাদী জামাতি
উ/গ/্/র/ব/া/দ/ী/ /জ/া/ম/া/ত/ি,উগ্রবাদী জামাতি
উগ্রবাদী জাম*ত*,উগ্রবাদী জামাতি
উটের*মুএ,উটের মুএ
উ-ট-ে-র- -ম-ু-এ,উটের মুএ
উ/ট/ে/র/ /ম/ু/এ,উটের মুএ
উ*ের মুএ,উটের মুএ
উ*ের মুত,উটের মুত
উ-ট-ে-র- -ম-ু-ত,উটের মুত
উ/ট/ে/র/ /ম/ু/ত,উটের মুত
উটে* মুত,উটের মুত
উটের মুত*োর,উটের মুতখোর
উ-ট-ে-র- -ম-ু-ত-খ-ো-র,উটের মুতখোর
উ/ট/ে/র/ /ম/ু/ত/খ/ো/র,উটের মুতখোর
উটের ****োর,উটের মুতখোর
উটে* মুতের,উটের মুতের
উ-ট-ে-র- -ম-ু-ত-ে-র,উটের মুতের
উ/ট/ে/র/ /ম/ু/ত/ে/র,উটের মুতের
উটের মুতে*,উটের মুতের
উটের *ুত্র,উটের মুত্র
উ-ট-ে-র- -ম-ু-ত-্-র,উটের মুত্র
উ/ট/ে/র/ /ম/ু/ত/্/র,উটের মুত্র
*টের মুত্র,উটের মুত্র
উট*র মুত্রের,উটের মুত্রের
উ-ট-ে-র- -ম-ু-ত-্-র-ে-র,উটের মুত্রের
উ/ট/ে/র/ /ম/ু/ত/্/র/ে/র,উটের মুত্রের
উটে* মুত্রের,উটের মুত্রের
উটের*মূত,উটের মূত
উ-ট-ে-র- -ম-ূ-ত,উটের মূত
উ/ট/ে/র/ /ম/ূ/ত,উটের মূত
**ে* ম*ত,উটের মূত
উ*ের মূত্র,উটের মূত্র
উ-ট-ে-র- -ম-ূ-ত-্-র,উটের মূত্র
উ/ট/ে/র/ /ম/ূ/ত/্/র,উটের মূত্র
উ**র ম*ত**,উটের মূত্র
উটের*মূত্রখোর,উটের মূত্রখোর
উ-ট-ে-র- -ম-ূ-ত-্-র-খ-ো-র,উটের মূত্রখোর
উ/ট/ে/র/ /ম/ূ/ত/্/র/খ/ো/র,উটের মূত্রখোর
উট*র মূত্রখোর,উটের মূত্রখোর
উঠ*র মুত,উঠের মুত
উ-ঠ-ে-র- -ম-ু-ত,উঠের মুত
উ/ঠ/ে/র/ /ম/ু/ত,উঠের মুত
*ঠ*র মুত,উঠের মুত
উপরওয়ালার*গজব,উপরওয়ালার গজব
উ-প-র-ও-য়-া-ল-া-র- -গ-জ-ব,উপরওয়ালার গজব
উ/প/র/ও/য়/া/ল/া/র/ /গ/জ/ব,উপরওয়ালার গজব
উপ*ওয়াল** গজব,উপরওয়ালার গজব
উলংগ*করে,উলংগ করে
উ-ল-ং-গ- -ক-র-ে,উলংগ করে
উ/ল/ং/গ/ /ক/র/ে,উলংগ করে
উল** করে,উলংগ করে
উলঙ*গ মেয়ে,উলঙ্গ মেয়ে
উ-ল-ঙ-্-গ- -ম-ে-য়-ে,উলঙ্গ মেয়ে
উ/ল/ঙ/্/গ/ /ম/ে/য়/ে,উলঙ্গ মেয়ে
উলঙ*গ*ম***,উলঙ্গ মেয়ে
একদঙ্গল পাক*স্তানী,একদঙ্গল পাকিস্তানী
এ-ক-দ-ঙ-্-গ-ল- -প-া-ক-ি-স-্-ত-া-ন-ী,একদঙ্গল পাকিস্তানী
এ/ক/দ/ঙ/্/গ/ল/ /প/া/ক/ি/স/্/ত/া/ন/ী,একদঙ্গল পাকিস্তানী
*কদঙ*গল *াক*স*****,একদঙ্গল পাকিস্তানী
একদ* ফালতু,একদম ফালতু
এ-ক-দ-ম- -ফ-া-ল-ত-ু,একদম ফালতু
এ/ক/দ/ম/ /ফ/া/ল/ত/ু,একদম ফালতু
এ*দম ফালতু,একদম ফালতু
এটা জা*াত,এটা জামাত
এ-ট-া- -জ-া-ম-া-ত,এটা জামাত
এ/ট/া/ /জ/া/ম/া/ত,এটা জামাত
এ*া**ামাত,এটা জামাত
এ*া জামাতের,এটা জামাতের
এ-ট-া- -জ-া-ম-া-ত-ে-র,এটা জামাতের
এ/ট/া/ /জ/া/ম/া/ত/ে/র,এটা জামাতের
এ*া*জা*াতে*,এটা জামাতের
এত আগ*ন,এত আগুন
এ-ত- -আ-গ-ু-ন,এত আগুন
এ/ত/ /আ/গ/ু/ন,এত আগুন
এ* *গ*ন,এত আগুন
এত চুল*ানি,এত চুলকানি
এ-ত- -চ-ু-ল-ক-া-ন-ি,এত চুলকানি
এ/ত/ /চ/ু/ল/ক/া/ন/ি,এত চুলকানি
***চু*কান*,এত চুলকানি
এত চুল*ায়,এত চুলকায়
এ-ত- -চ-ু-ল-ক-া-য়,এত চুলকায়
এ/ত/ /চ/ু/ল/ক/া/য়,এত চুলকায়
এত চুলকা*,এত চুলকায়
এতো ফাট*ে,এতো ফাটছে
এ-ত-ো- -ফ-া-ট-ছ-ে,এতো ফাটছে
এ/ত/ো/ /ফ/া/ট/ছ/ে,এতো ফাটছে
*** ফাটছ*,এতো ফাটছে
এ*ো সেক্সি,এতো সেক্সি
এ-ত-ো- -স-ে-ক-্-স-ি,এতো সেক্সি
এ/ত/ো/ /স/ে/ক/্/স/ি,এতো সেক্সি
এ*ো*সেক*সি,এতো সেক্সি
এদেশে* ছাগু,এদেশের ছাগু
এ-দ-ে-শ-ে-র- -ছ-া-গ-ু,এদেশের ছাগু
এ/দ/ে/শ/ে/র/ /ছ/া/গ/ু,এদেশের ছাগু
এ*েশ*র ছা*ু,এদেশের ছাগু
ও*না ছাড়া,ওড়না ছাড়া
ও-ড়-ন-া- -ছ-া-ড়-া,ওড়না ছাড়া
ও/ড়/ন/া/ /ছ/া/ড়/া,ওড়না ছাড়া
ও*ন**ছা*া,ওড়না ছাড়া
ও*না নাই,ওড়না নাই
ও-ড়-ন-া- -ন-া-ই,ওড়না নাই
ও/ড়/ন/া/ /ন/া/ই,ওড়না নাই
ওড়*া*ন*ই,ওড়না নাই
ওড*না নেই,ওড়না নেই
ও-ড-়-ন-া- -ন-ে-ই,ওড়না নেই
ও/ড/়/ন/া/ /ন/ে/ই,ওড়না নেই
*ড*ন* নেই,ওড়না নেই
ওরে*খানকি,ওরে খানকি
ও-র-ে- -খ-া-ন-ক-ি,ওরে খানকি
ও/র/ে/ /খ/া/ন/ক/ি,ওরে খানকি
ওর**খানকি,ওরে খানকি
ওরে*গাধা,ওরে গাধা
ও-র-ে- -গ-া-ধ-া,ওরে গাধা
ও/র/ে/ /গ/া/ধ/া,ওরে গাধা
*রে গাধা,ওরে গাধা
ওরে*গান্ডু,ওরে গান্ডু
ও-র-ে- -গ-া-ন-্-ড-ু,ওরে গান্ডু
ও/র/ে/ /গ/া/ন/্/ড/ু,ওরে গান্ডু
ওরে গান*ডু,ওরে গান্ডু
